date,datetime,SPOSTMIN,SACTMIN
08/02/2017,2017-08-02 22:30:00,-999,
08/02/2017,2017-08-02 22:38:00,-999,
08/02/2017,2017-08-02 22:45:00,-999,
08/02/2017,2017-08-02 22:52:00,-999,
08/02/2017,2017-08-02 22:59:00,-999,
08/02/2017,2017-08-02 23:03:00,-999,
08/02/2017,2017-08-02 23:10:00,-999,
08/02/2017,2017-08-02 23:17:00,-999,
08/02/2017,2017-08-02 23:24:00,-999,
08/02/2017,2017-08-02 23:30:00,-999,
08/02/2017,2017-08-02 23:38:00,-999,
08/02/2017,2017-08-02 23:45:00,-999,
08/02/2017,2017-08-02 23:52:00,-999,
08/02/2017,2017-08-02 23:59:00,-999,
08/02/2017,2017-08-03 00:03:00,-999,
08/03/2017,2017-08-03 08:52:00,-999,
08/03/2017,2017-08-03 08:59:00,-999,
08/03/2017,2017-08-03 09:03:00,-999,
08/03/2017,2017-08-03 09:10:00,-999,
08/03/2017,2017-08-03 09:17:00,-999,
08/03/2017,2017-08-03 09:24:00,-999,
08/03/2017,2017-08-03 09:30:00,-999,
08/03/2017,2017-08-03 09:38:00,-999,
08/03/2017,2017-08-03 09:45:00,-999,
08/03/2017,2017-08-03 09:52:00,-999,
08/03/2017,2017-08-03 09:59:00,-999,
08/03/2017,2017-08-03 10:03:00,-999,
08/03/2017,2017-08-03 10:10:00,-999,
08/03/2017,2017-08-03 17:17:00,-999,
08/03/2017,2017-08-03 17:24:00,-999,
08/03/2017,2017-08-03 17:30:00,-999,
08/03/2017,2017-08-03 17:38:00,-999,
08/03/2017,2017-08-03 17:45:00,-999,
08/03/2017,2017-08-03 17:52:00,-999,
08/03/2017,2017-08-03 17:59:00,-999,
08/03/2017,2017-08-03 21:03:00,-999,
08/03/2017,2017-08-03 21:10:00,-999,
08/03/2017,2017-08-03 21:17:00,-999,
08/03/2017,2017-08-03 21:24:00,-999,
08/03/2017,2017-08-03 21:30:00,-999,
08/03/2017,2017-08-03 21:38:00,-999,
08/03/2017,2017-08-03 21:45:00,-999,
08/03/2017,2017-08-03 21:52:00,-999,
08/03/2017,2017-08-03 21:59:00,-999,
08/03/2017,2017-08-03 22:03:00,-999,
08/03/2017,2017-08-03 22:10:00,-999,
08/03/2017,2017-08-03 22:17:00,-999,
08/03/2017,2017-08-03 22:24:00,-999,
08/03/2017,2017-08-03 22:30:00,-999,
08/03/2017,2017-08-03 22:38:00,-999,
08/03/2017,2017-08-03 22:45:00,-999,
08/03/2017,2017-08-03 22:52:00,-999,
08/03/2017,2017-08-03 22:59:00,-999,
